FMS,member,region,district,cluster,community,Residency,geopoint_longitude,geopoint_latitude
Southwest,NRC,Bay,Baidoa,NRC_6,Salbuuy,Rural,43.61402,3.1593
Southwest,NRC,Bay,Baidoa,NRC_6,Rebay,Rural,43.5857,3.16269
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Ilkacado,Rural,45.22958,4.87993
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Jawiil,Rural,45.21828,4.92175
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Tulo-Hiran,Rural,45.20964,4.83663
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Nimcaan,Rural,45.18646,4.80042
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Lugbari,Rural,45.17314,4.79672
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Harcadey,Rural,45.1669,4.80588
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Biyo_Qurun,Rural,45.16205,4.87805
Hirshabele,SCI,Hiran,Belet_weyne,SCI_1,Bacad,Rural,45.1599,4.86809
Hirshabele,SCI,Hiran,Belet_weyne,SCI_2,Beergadid,Rural,45.3141,5.08535
Hirshabele,SCI,Hiran,Belet_weyne,SCI_2,Jiracle,Rural,45.29149,5.03918
Hirshabele,SCI,Hiran,Belet_weyne,SCI_2,Warqumayo,Rural,45.16604,4.99731
Hirshabele,SCI,Hiran,Belet_weyne,SCI_2,Feerfeer,Rural,45.14819,5.05324
Hirshabele,SCI,Hiran,Belet_weyne,SCI_3,Dhugile,Rural,45.48582,5.30703
Hirshabele,SCI,Hiran,Belet_weyne,SCI_3,Ceeldhiinle,Rural,45.48376,5.26985
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Geedda_barkaan,Rural,45.57021,2.84322
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Timiro,Rural,45.55226,2.90551
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Baaray,Rural,45.55036,2.91756
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Raqaylay,Rural,45.53302,2.8025
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Moyko,Rural,45.51273,2.85575
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Libiga,Rural,45.49677,2.90855
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Kongo,Rural,45.48071,2.82315
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Xanshoolay,Rural,45.4805,2.92548
Hirshabele,SCI,Middle_Shabelle,Jawhar,SCI_4,Dhaay_gawaan,Rural,45.46388,2.91335
