variable,district,From,Up to ,status
Sorghum,Berdale-Urban,0.43,0.49,Normal
Sorghum,Berdale-Urban,0.5,0.64,Alert
Sorghum,Berdale-Urban,0.65,1,Alarm
Maize,Berdale-Urban,0.57,0.63,Normal
Maize,Berdale-Urban,0.64,0.7,Alert
Maize,Berdale-Urban,0.71,1,Alarm
Rice,Berdale-Urban,0.8,1,Normal
Rice,Berdale-Urban,1.01,1.24,Alert
Rice,Berdale-Urban,1.25,1.4,Alarm
Goat,Berdale-Urban,70,60,Normal
Goat,Berdale-Urban,59,50,Alert
Goat,Berdale-Urban,49,40,Alarm
Water,Berdale-Urban,0.5,0.6,Normal
Water,Berdale-Urban,0.61,0.99,Alert
Water,Berdale-Urban,1,1.2,Alarm
Fuel,Berdale-Urban,0.71,0.88,Normal
Fuel,Berdale-Urban,0.89,1.06,Alert
Fuel,Berdale-Urban,1.07,2,Alarm
Labour,Berdale-Urban,7,5,Normal
Labour,Berdale-Urban,4.99,4,Alert
Labour,Berdale-Urban,3.99,3,Alarm
Sorghum,Daynile-Urban,0.62,0.68,Normal
Sorghum,Daynile-Urban,0.69,0.76,Alert
Sorghum,Daynile-Urban,0.77,1,Alarm
Maize,Daynile-Urban,0.62,0.68,Normal
Maize,Daynile-Urban,0.69,0.76,Alert
Maize,Daynile-Urban,0.77,1,Alarm
Rice,Daynile-Urban,0.65,0.75,Normal
Rice,Daynile-Urban,0.76,0.85,Alert
Rice,Daynile-Urban,0.86,1,Alarm
Goat,Daynile-Urban,90,75,Normal
Goat,Daynile-Urban,74,60,Alert
Goat,Daynile-Urban,59,40,Alarm
Water,Daynile-Urban,0.13,0.15,Normal
Water,Daynile-Urban,0.16,0.2,Alert
Water,Daynile-Urban,0.21,0.3,Alarm
Fuel,Daynile-Urban,0.77,0.95,Normal
Fuel,Daynile-Urban,0.96,1.14,Alert
Fuel,Daynile-Urban,1.15,1.5,Alarm
Labour,Daynile-Urban,10.99,10,Normal
Labour,Daynile-Urban,9.99,9,Alert
Labour,Daynile-Urban,8.99,8,Alarm
Sorghum,Dolow-Urban,0.94,0.99,Normal
Sorghum,Dolow-Urban,1,1.05,Alert
Sorghum,Dolow-Urban,1.06,1.5,Alarm
Maize,Dolow-Urban,0.62,0.68,Normal
Maize,Dolow-Urban,0.69,0.76,Alert
Maize,Dolow-Urban,0.77,1,Alarm
Rice,Dolow-Urban,1.2,1.3,Normal
Rice,Dolow-Urban,1.31,1.6,Alert
Rice,Dolow-Urban,1.61,1.8,Alarm
