variable,district,From,Up to ,status
labour,El-berde-ACF,5,3.5,Alert
labour,Dhusamareeb-NRC,14,9.5,Alert
labour,Diinsoor-GREDO,14,9.5,Alert
labour,Galdogob-IRC,15,8.5,Alert
labour,Galkacyo-KAALO,7,5.5,Alert
labour,Galkacyo-IRC,14,9.5,Alert
labour,Hudur-ACF,6.09,5.1,Alert
labour,Jariiban-KAALO,6,5,Alert
labour,Jawhar-SCI,,,Alert
labour,Kismayo-NRC,10,7.5,Alert
labour,Rab_dhure-ACF,5.94,3.55,Alert
labour,Waajid-ACF,5.54,3.5,Alert
labour,Wanla_Weyn-CONCERN,6,4.5,Alert
labour,Adado-IRC,9,7,Alarm
labour,Afgoye-CONCERN,4,3,Alarm
labour,Afmadow-NRC,4,3.5,Alarm
labour,Baardhere-CONCERN,6,5,Alarm
labour,Baidoa-GREDO,7,4,Alarm
labour,Baidoa-NRC,3,2.5,Alarm
labour,Belet_Hawa-CONCERN,6.5,6,Alarm
labour,Belet_weyne-SCI,8.5,7.5,Alarm
labour,El-berde-ACF,3,2.5,Alarm
labour,Dhusamareeb-NRC,9,8,Alarm
labour,Diinsoor-GREDO,9,5,Alarm
labour,Galdogob-IRC,8,6,Alarm
labour,Galkacyo-KAALO,5,4,Alarm
labour,Galkacyo-IRC,9,5,Alarm
labour,Hudur-ACF,5.09,4,Alarm
labour,Jariiban-KAALO,4.5,4,Alarm
labour,Jawhar-SCI,,,Alarm
labour,Kismayo-NRC,7,5,Alarm
labour,Rab_dhure-ACF,3.45,2.5,Alarm
labour,Waajid-ACF,3.49,2,Alarm
labour,Wanla_Weyn-CONCERN,4,3,Alarm
